Price,Shipping,Grade,Mileage,Organization,Location,More Info
51.00,35.00,Excellent Condition (Grade A),108000,Baird Auto Parts,"Fairdale, KY","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1777847-411-1"
62.00,15.00,Excellent Condition (Grade A),83000,B & R Auto Wrecking ALB,"Corvallis, OR","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-30340319-454-2"
55.00,View Shipping Options,Excellent Condition (Grade A),180000,Northtown Auto Parts,"Toledo, OH","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-101027-6962-1"
50.00,View Shipping Options,Excellent Condition (Grade A),102000,Northtown Auto Parts,"Toledo, OH","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-99675-6962-1"
75.00,In-Store Pickup Available!,Excellent Condition (Grade A),131000,JOHNSON AUTO WRECKERS,"Danford Lake, QC","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-61936-7366-1"
60.00,In-Store Pickup Available!,Excellent Condition (Grade A),143000,JOHNSON AUTO WRECKERS,"Danford Lake, QC","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-61348-7366-1"
34.00,In-Store Pickup Available!,Excellent Condition (Grade A),96000,Adams Wrecking,"Lajunta, CO","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-394676-3928-1"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),222000,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1397165-3075-1"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),0,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1396332-3075-1"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),112000,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1393984-3075-1"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),185000,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1393344-3075-1"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),0,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1390610-3075-1"
55.00,In-Store Pickup Available!,Good Condition (Grade B),0,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1377859-3075-1"
44.00,FREE SHIPPING!,Part Grade Unknown,0,Overdrive Auto Parts,"Sauk Centre, MN","https://www.hollanderparts.com/used-auto-parts/2017/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-700056-6828-1"
50.00,View Shipping Options,Part Grade Unknown,0,Morrow Motors Inc.,"Forest City, NC","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-463142-1797-1"
55.00,In-Store Pickup Available!,Part Grade Unknown,187000,Seymour Auto Wrecking Inc,"Seymour, CT","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1409971-3075-1"
55.00,30.00,Excellent Condition (Grade A),208000,Cousineau Auto Parts Inc.,"Appleton, WI","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-4474067-5817-2"
55.00,In-Store Pickup Available!,Excellent Condition (Grade A),129000,Wagers Used Auto Parts,"Hamiliton, OH","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-11099-7964-1"
50.00,In-Store Pickup Available!,Excellent Condition (Grade A),165000,Wagers Used Auto Parts,"Hamiliton, OH","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-10788-7964-1"
00.00,Contact Seller,Excellent Condition (Grade A),176000,Henri Miron Automobile,"St Jerome, QC","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1435412-5786-1"
00.00,Contact Seller,Excellent Condition (Grade A),161000,Henri Miron Automobile,"St Jerome, QC","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1232881-5786-1"
50.00,Contact Seller,Excellent Condition (Grade A),145000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1424469-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),159000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1344952-2590-1"
